rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
64th,West Bloomfield,38.7,8.2,69.1,29.62,29.62,7,0.5,1.25,0.0,1.25,0.5,1.25,0.5,3.0,Singles F1: 112th; Singles F2: 39th; Singles F3: 134th; Singles F4: 53rd; Doubles F1: 120th; Doubles F2: 39th; Doubles F3: 123rd; Doubles F4: 26th
65th,Traverse City West,38.7,5.5,71.9,26.87,26.87,8,0.5,0.5,0.5,0.5,1.25,0.5,0.5,1.25,Singles F1: 91st; Singles F2: 97th; Singles F3: 75th; Singles F4: 76th; Doubles F1: 59th; Doubles F2: 65th; Doubles F3: 85th; Doubles F4: 39th
66th,Mason,38.6,6.5,70.6,27.64,27.64,7,0.5,0.0,0.5,0.5,1.25,1.25,1.25,1.25,Singles F1: 108th; Singles F2: 144th; Singles F3: 102nd; Singles F4: 85th; Doubles F1: 47th; Doubles F2: 36th; Doubles F3: 54th; Doubles F4: 38th
67th,Grand Haven,37.7,7.2,68.2,27.66,27.66,5,1.25,1.25,1.25,3.0,0.0,0.0,0.0,0.5,Singles F1: 38th; Singles F2: 38th; Singles F3: 57th; Singles F4: 29th; Doubles F1: 143rd; Doubles F2: 148th; Doubles F3: 146th; Doubles F4: 65th
68th,Saline,37.3,6.2,68.3,32.49,32.49,8,0.5,0.5,1.25,1.25,0.5,1.25,0.5,0.5,Singles F1: 114th; Singles F2: 116th; Singles F3: 50th; Singles F4: 39th; Doubles F1: 108th; Doubles F2: 47th; Doubles F3: 106th; Doubles F4: 83rd
69th,Saginaw Heritage,37.3,5.5,69.1,23.66,23.66,8,0.5,0.5,1.25,0.5,1.25,0.5,0.5,0.5,Singles F1: 81st; Singles F2: 112th; Singles F3: 53rd; Singles F4: 65th; Doubles F1: 35th; Doubles F2: 110th; Doubles F3: 91st; Doubles F4: 99th
70th,St. Clair,37.2,5.8,68.6,26.25,26.25,7,0.0,0.5,0.5,0.5,1.25,1.25,1.25,0.5,Singles F1: 135th; Singles F2: 110th; Singles F3: 95th; Singles F4: 67th; Doubles F1: 51st; Doubles F2: 50th; Doubles F3: 62nd; Doubles F4: 86th
71st,Battle Creek Lakeview,37.0,5.8,68.2,25.29,25.29,7,0.5,0.5,0.5,1.25,0.5,0.0,1.25,1.25,Singles F1: 69th; Singles F2: 98th; Singles F3: 70th; Singles F4: 58th; Doubles F1: 110th; Doubles F2: 155th; Doubles F3: 53rd; Doubles F4: 52nd
72nd,Sturgis,37.0,5.0,69.0,27.63,27.63,7,0.5,0.5,0.5,1.25,0.0,0.5,0.5,1.25,Singles F1: 96th; Singles F2: 99th; Singles F3: 83rd; Singles F4: 44th; Doubles F1: 138th; Doubles F2: 80th; Doubles F3: 67th; Doubles F4: 41st
73rd,Hamilton,36.7,8.2,65.2,27.18,27.18,6,0.5,0.5,0.5,5.0,0.0,0.5,0.0,1.25,Singles F1: 104th; Singles F2: 125th; Singles F3: 78th; Singles F4: 12th; Doubles F1: 130th; Doubles F2: 84th; Doubles F3: 130th; Doubles F4: 63rd
74th,Grandville,36.5,7.8,65.3,30.55,30.55,6,0.5,1.25,3.0,0.5,0.0,1.25,0.0,1.25,Singles F1: 122nd; Singles F2: 40th; Singles F3: 23rd; Singles F4: 74th; Doubles F1: 162nd; Doubles F2: 43rd; Doubles F3: 201st; Doubles F4: 60th
75th,Canton,36.3,6.5,66.2,26.61,26.61,7,0.5,0.5,1.25,1.25,0.5,0.0,1.25,1.25,Singles F1: 125th; Singles F2: 91st; Singles F3: 63rd; Singles F4: 55th; Doubles F1: 109th; Doubles F2: 194th; Doubles F3: 35th; Doubles F4: 34th
